id,organisation_id,project_id,permit_template_id,permit_status,starts_on,ends_on,created_on,modified_on,requested_by,approved_by,cancelled_by
1,2281,2,10,OPEN,2022-05-17 20:24:38,2022-05-18 01:24:38,2022-05-17 20:25:50,2022-05-17 20:31:50.000,95,114.0,
2,2281,4,10,CLOSED,2022-05-01 04:13:39,2022-05-01 09:13:39,2022-05-01 04:14:37,2022-05-01 09:14:37.000,83,103.0,
3,2281,4,20,CLOSED,2022-05-01 06:31:52,2022-05-01 16:31:52,2022-05-01 06:32:40,2022-05-01 16:32:40.000,25,110.0,
4,2281,3,10,CLOSED,2022-05-27 00:38:19,2022-05-27 05:38:19,2022-05-27 00:39:07,2022-05-27 05:39:07.000,26,112.0,
5,2281,3,20,OPEN,2022-05-28 21:45:22,2022-05-29 07:45:22,2022-05-28 21:46:04,2022-05-28 22:10:04.000,19,105.0,
6,2281,3,10,CLOSED,2022-05-18 20:10:20,2022-05-19 01:10:20,2022-05-18 20:11:19,2022-05-19 01:11:19.000,79,106.0,
7,2281,2,20,CLOSED,2022-05-20 10:47:16,2022-05-20 20:47:16,2022-05-20 10:47:46,2022-05-20 20:47:46.000,91,101.0,
8,2281,3,10,AWAITING_FINAL_SIGN_OFF,2022-05-25 09:07:07,2022-05-25 14:07:07,2022-05-25 09:08:04,2022-05-25 13:38:04.000,45,105.0,
9,2281,2,30,CLOSED,2022-05-26 03:35:54,2022-05-27 03:35:54,2022-05-26 03:36:53,2022-05-27 03:36:53.000,79,106.0,
10,2281,3,40,OPEN,2022-05-31 03:25:28,2022-06-01 15:25:28,2022-05-31 03:26:50,2022-05-31 06:19:38.000,39,106.0,
11,2281,2,40,CLOSED,2022-05-29 01:50:25,2022-05-30 13:50:25,2022-05-29 01:51:22,2022-05-30 13:51:22.000,91,115.0,
12,2281,3,10,CLOSED,2022-05-05 08:25:09,2022-05-05 13:25:09,2022-05-05 08:26:01,2022-05-05 13:26:01.000,87,102.0,
13,2281,3,20,CLOSED,2022-05-16 14:04:19,2022-05-17 00:04:19,2022-05-16 14:05:01,2022-05-17 00:05:01.000,60,104.0,
14,2281,3,40,CLOSED,2022-05-22 21:18:30,2022-05-24 09:18:30,2022-05-22 21:19:44,2022-05-24 09:19:44.000,90,113.0,
15,2281,1,20,REJECTED,2022-05-19 07:20:12,2022-05-19 17:20:12,2022-05-19 07:21:24,2022-05-19 07:45:24.000,47,,119.0
16,2281,1,40,AWAITING_FINAL_SIGN_OFF,2022-05-19 00:23:40,2022-05-20 12:23:40,2022-05-19 00:25:01,2022-05-20 08:05:49.000,12,109.0,
