id,organisation_id,project_id,permit_template_id,permit_status,starts_on,ends_on,created_on,modified_on,requested_by,approved_by,cancelled_by
1,1764,2,30,CLOSED,2022-05-25 23:58:04,2022-05-26 23:58:04,2022-05-25 23:58:57,2022-05-26 23:58:57.000,41,115.0,
2,1764,1,10,REQUESTED,2022-05-28 15:03:53,2022-05-28 20:03:53,2022-05-28 15:04:54,2022-05-28 15:04:54.000,67,,
3,1764,2,10,OPEN,2022-05-31 01:57:56,2022-05-31 06:57:56,2022-05-31 01:58:52,2022-05-31 02:04:52.000,73,106.0,
4,1764,4,10,CLOSED,2022-05-13 11:46:27,2022-05-13 16:46:27,2022-05-13 11:47:18,2022-05-13 16:47:18.000,49,111.0,
5,1764,4,20,CLOSED,2022-05-03 10:34:19,2022-05-03 20:34:19,2022-05-03 10:35:47,2022-05-03 20:35:47.000,15,104.0,
6,1764,2,40,OPEN,2022-05-08 11:00:20,2022-05-09 23:00:20,2022-05-08 11:01:20,2022-05-08 13:54:08.000,93,109.0,
7,1764,3,10,CLOSED,2022-05-22 08:52:25,2022-05-22 13:52:25,2022-05-22 08:53:27,2022-05-22 13:53:27.000,20,109.0,
8,1764,2,30,REQUESTED,2022-05-13 09:26:10,2022-05-14 09:26:10,2022-05-13 09:27:15,2022-05-13 09:27:15.000,85,,
9,1764,4,10,OPEN,2022-05-10 08:34:58,2022-05-10 13:34:58,2022-05-10 08:36:13,2022-05-10 08:42:13.000,72,107.0,
10,1764,3,20,CLOSED,2022-05-25 01:25:05,2022-05-25 11:25:05,2022-05-25 01:26:27,2022-05-25 11:26:27.000,44,109.0,
11,1764,3,10,OPEN,2022-05-31 17:47:35,2022-05-31 22:47:35,2022-05-31 17:48:57,2022-05-31 17:54:57.000,99,118.0,
12,1764,2,40,REQUESTED,2022-05-21 03:49:33,2022-05-22 15:49:33,2022-05-21 03:50:50,2022-05-21 03:50:50.000,60,,
13,1764,2,30,OPEN,2022-05-02 12:01:33,2022-05-03 12:01:33,2022-05-02 12:02:46,2022-05-02 13:29:10.000,76,113.0,
14,1764,4,20,OPEN,2022-05-10 08:03:07,2022-05-10 18:03:07,2022-05-10 08:03:43,2022-05-10 08:27:43.000,14,113.0,
15,1764,1,10,OPEN,2022-05-21 15:07:35,2022-05-21 20:07:35,2022-05-21 15:08:40,2022-05-21 15:14:40.000,71,114.0,
16,1764,2,30,REQUESTED,2022-05-05 09:53:25,2022-05-06 09:53:25,2022-05-05 09:54:16,2022-05-05 09:54:16.000,13,,
17,1764,4,30,CLOSED,2022-05-19 23:24:55,2022-05-20 23:24:55,2022-05-19 23:26:10,2022-05-20 23:26:10.000,94,114.0,
18,1764,3,10,OPEN,2022-05-10 18:24:54,2022-05-10 23:24:54,2022-05-10 18:25:55,2022-05-10 18:31:55.000,89,119.0,
19,1764,3,10,OPEN,2022-05-12 19:06:58,2022-05-13 00:06:58,2022-05-12 19:07:35,2022-05-12 19:13:35.000,20,119.0,
20,1764,4,20,CLOSED,2022-05-23 08:01:46,2022-05-23 18:01:46,2022-05-23 08:03:08,2022-05-23 18:03:08.000,10,106.0,
21,1764,3,20,REJECTED,2022-05-05 07:13:43,2022-05-05 17:13:43,2022-05-05 07:14:51,2022-05-05 07:30:27.000,70,,111.0
22,1764,1,40,CLOSED,2022-05-25 10:18:05,2022-05-26 22:18:05,2022-05-25 10:18:44,2022-05-25 10:18:44.000,65,,
23,1764,3,10,AWAITING_FINAL_SIGN_OFF,2022-05-27 11:45:10,2022-05-27 16:45:10,2022-05-27 11:46:20,2022-05-27 16:16:20.000,71,104.0,
24,1764,3,30,CLOSED,2022-05-03 01:02:10,2022-05-04 01:02:10,2022-05-03 01:03:01,2022-05-04 01:03:01.000,72,109.0,
25,1764,4,30,OPEN,2022-05-11 13:43:02,2022-05-12 13:43:02,2022-05-11 13:43:51,2022-05-11 15:10:15.000,71,103.0,
26,1764,3,30,CLOSED,2022-05-25 02:18:42,2022-05-26 02:18:42,2022-05-25 02:19:18,2022-05-26 02:19:18.000,15,113.0,
27,1764,3,20,OPEN,2022-05-24 22:26:36,2022-05-25 08:26:36,2022-05-24 22:27:20,2022-05-24 22:51:20.000,14,106.0,
28,1764,4,30,OPEN,2022-05-31 12:22:24,2022-06-01 12:22:24,2022-05-31 12:23:22,2022-05-31 13:49:46.000,6,105.0,
29,1764,2,20,CLOSED,2022-05-15 05:05:13,2022-05-15 15:05:13,2022-05-15 05:06:07,2022-05-15 15:06:07.000,99,107.0,
30,1764,2,40,CLOSED,2022-05-29 09:28:58,2022-05-30 21:28:58,2022-05-29 09:29:58,2022-05-30 21:29:58.000,63,110.0,
